protein,pearson_correlation,protein_uniprot
APOA2,,P02652
APOA5,,Q6Q788
APOB,,P04114
APOE,,P02649
APOF,,Q13790
APOH,,P02749
APP,,P05067
APRT,,P07741
AQP1,,P29972
AQP10,,Q96PS8
AQP2,,P41181
AQP3,,Q92482
AQP4,,P55087
AQP5,,P55064
AQP6,,Q13520
AQP7,,O14520
AQP8,,O94778
AQP9,,O43315
ARAF,,P10398
ARAP1,,Q96P48
ARAP2,,Q8WZ64
ARF1,,P84077
ARF4,,P18085
ARF5,,P84085
ARF6,,P62330
ARFGAP1,,Q8N6T3
ARFGAP3,,Q9NP61
ARFGEF1,,Q9Y6D6
ARFGEF2,,Q9Y6D5
ARG1,,P05089
ARG2,,P78540
ARHGAP1,,Q07960
ARHGAP35,,Q9NRY4
ARHGAP4,,P98171
ARHGAP5,,Q13017
ARHGAP6,,O43182
ARHGEF6,,Q15052
ARHGEF7,,Q14155
ARID1A,,O14497
ARID1B,,Q8NFD5
ARID2,,Q68CP9
ARID3A,,Q99856
ARID3B,,Q8IVW6
ARID3C,,A6NKF2
ARID4A,,P29374
ARID4B,,Q4LE39
ARID5A,,Q03989
ARID5B,,Q14865
ARL1,,P40616
ARL16,,Q0P5N6
ARL2,,P36404
ARL2BP,,Q9Y2Y0
ARL5A,,Q9Y689
ARL5B,,Q96KC2
ARL6,,Q9H0F7
ARL6IP5,,O75915
ARNT,,P27540
ARNT2,,Q9HBZ2
ARNTL,,O00327
ARNTL2,,Q8WYA1
ARPC1B,,O15143
ARPC2,,O15144
ARPC3,,O15145
ARPC4,,P59998
ARPC5,,O15511
ARRB1,,P49407
ARTN,,Q5T4W7
ARX,,Q96QS3
AS3MT,,Q9HBK9
ASAH1,,Q13510
ASAP1,,Q9ULH1
ASAP2,,O43150
ASCL1,,P50553
ASCL2,,Q99929
ASCL3,,Q9NQ33
ASCL4,,Q6XD76
ASCL5,,Q7RTU5
ASH1L,,Q9NR48
ASH2L,,Q9UBL3
ASIC1,,P78348
ASIC2,,Q16515
ASIC3,,Q9UHC3
ASIC4,,Q96FT7
ASMT,,P46597
ASNA1,,None
ASNS,,P08243
ASPA,,P45381
ASPH,,Q12797
ASRGL1,,Q7L266
ASS1,,P00966
ASXL1,,Q8IXJ9
ATF1,0.013926938994693498,P18846
ATF2,0.004868395885397244,P15336
ATF3,-0.009335762844050256,P18847
ATF4,0.0004105540043032428,P18848
ATF5,-0.020286466218911954,Q9Y2D1
ATF6,-0.006803089173354943,P18850
ATF6B,,Q99941
ATF7,-0.006698586879848787,P17544
ATF7IP,,Q6VMQ6
ATG5,,Q9H1Y0
ATIC,,P31939
ATM,,Q13315
ATN1,,P54259
ATOH1,,Q92858
ATOH7,,Q8N100
ATOH8,,Q96SQ7
ATP10A,,O60312
ATP11B,,Q9Y2G3
ATP11C,,Q8NB49
ATP12A,,P54707
ATP13A1,,Q9HD20
ATP1A1,,P05023
ATP1A2,,P50993
ATP1A3,,P13637
ATP1A4,,Q13733
ATP1B1,,P05026
ATP1B2,,P14415
ATP1B3,,P54709
ATP1B4,,Q9UN42
ATP2A1,,O14983
ATP2A2,,P16615
ATP2A3,,Q93084
ATP2B1,,P20020
ATP2C1,,P98194
ATP2C2,,O75185
ATP4A,,P20648
ATP4B,,P51164
ATP5A1,,None
ATP5B,,None
ATP5C1,,None
ATP5D,,None
ATP5F1,,None
ATP6AP2,,O75787
ATP6V1A,,P38606
ATP6V1B2,,P21281
ATP6V1C1,,P21283
ATP7A,,Q04656
ATP7B,,P35670
ATP8B2,,P98198
ATP8B4,,Q8TF62
ATR,,Q13535
ATXN7L3,,Q14CW9
AURKA,,O14965
AURKB,,Q96GD4
AURKC,,Q9UQB9
AVIL,,O75366
AVP,,P01185
AVPR1A,,P37288
AVPR1B,,P47901
AVPR2,,P30518
AXIN1,,O15169
AXL,,P30530
AZU1,,P20160
BAAT,,Q14032
BACE1,,P56817
BACH1,,O14867
BACH2,,Q9BYV9
BAD,,Q92934
BAK1,,Q16611
BANP,,Q8N9N5
BARHL1,,Q9BZE3
BARHL2,,Q9NY43
BARX1,,Q9HBU1
BARX2,,Q9UMQ3
BASP1,,P80723
BATF,,Q16520
BATF2,,Q8N1L9
