,drug,class
836,pubchem.compound:78357816,[2]
837,pubchem.compound:40704,[]
838,pubchem.compound:53389,[8]
839,pubchem.compound:16118392,[2]
840,pubchem.compound:46848036,[2]
841,pubchem.compound:11658655,[]
842,pubchem.compound:24873435,[]
843,pubchem.compound:5059,[]
844,pubchem.compound:115210,[8]
845,pubchem.compound:4671,[8]
846,pubchem.compound:166558,[11]
847,pubchem.compound:4417,[8]
848,pubchem.compound:11243969,[13]
849,pubchem.compound:33887,[12]
850,pubchem.compound:155903766,[]
851,pubchem.compound:3036703,[]
852,pubchem.compound:5283734,[14]
853,pubchem.compound:16720766,[2]
854,pubchem.compound:5639,[11]
855,pubchem.compound:10221150,[]
856,pubchem.compound:6918508,[2]
857,pubchem.compound:49867937,[2]
858,pubchem.compound:163844,[]
859,pubchem.compound:24771824,[13]
860,pubchem.compound:29243,[2]
861,pubchem.compound:72093,[]
862,pubchem.compound:23727689,[8]
863,pubchem.compound:9547243,[]
864,pubchem.compound:11538455,[2]
865,pubchem.compound:46883536,[8]
866,pubchem.compound:10295295,[]
867,pubchem.compound:135497803,[]
868,pubchem.compound:5312149,[]
869,pubchem.compound:1646,[8]
870,pubchem.compound:50248,[]
871,pubchem.compound:16126898,[11]
872,pubchem.compound:6398761,[13]
873,pubchem.compound:24748573,[2]
874,pubchem.compound:11620908,[2]
875,pubchem.compound:156333,[8]
876,pubchem.compound:3074,[]
877,pubchem.compound:11949652,[13]
878,pubchem.compound:5311281,[11]
879,pubchem.compound:3698,[]
880,pubchem.compound:3009355,[]
881,pubchem.compound:121878,[]
882,pubchem.compound:170361,[8]
883,pubchem.compound:44182295,[2]
884,pubchem.compound:4823,[]
885,pubchem.compound:23626877,[15]
886,pubchem.compound:9808844,[2]
887,pubchem.compound:107967,[8]
888,pubchem.compound:10071196,[8]
889,pubchem.compound:44623946,[12]
890,pubchem.compound:49848070,[2]
891,pubchem.compound:4037,[15]
892,pubchem.compound:3352,[]
893,pubchem.compound:10783,[8]
894,pubchem.compound:9867642,[11]
895,pubchem.compound:5311424,[]
896,pubchem.compound:11519070,[12]
897,pubchem.compound:9887712,[13]
898,pubchem.compound:1520267,[13]
899,pubchem.compound:51001932,[2]
900,pubchem.compound:5282136,[]
901,pubchem.compound:4814,[]
902,pubchem.compound:25019940,[8]
903,pubchem.compound:65957,[9]
904,pubchem.compound:6303,[]
905,pubchem.compound:9851211,[]
906,pubchem.compound:71157,[8]
907,pubchem.compound:3277,[8]
908,pubchem.compound:159325,[]
909,pubchem.compound:5310993,[11]
910,pubchem.compound:9867770,[]
911,pubchem.compound:25025298,[]
912,pubchem.compound:128355,[12]
913,pubchem.compound:444036,[]
914,pubchem.compound:72124,[4]
915,pubchem.compound:5353788,[11]
916,pubchem.compound:64945,[13]
917,pubchem.compound:198693,[8]
918,pubchem.compound:9910486,[]
919,pubchem.compound:11548630,[2]
920,pubchem.compound:3278,[11]
921,pubchem.compound:3926,[11]
922,pubchem.compound:3949,[8]
923,pubchem.compound:11438771,[20]
924,pubchem.compound:42642648,[2]
925,pubchem.compound:3052,[]
926,pubchem.compound:178024,[]
927,pubchem.compound:71346,[8]
928,pubchem.compound:1236,[]
929,pubchem.compound:6438330,[]
930,pubchem.compound:5904,[]
931,pubchem.compound:6604909,[8]
932,pubchem.compound:9863672,[]
933,pubchem.compound:443955,[8]
934,pubchem.compound:132519,[9]
935,pubchem.compound:443953,[]
936,pubchem.compound:1088,[]
937,pubchem.compound:213046,[]
938,pubchem.compound:68871,[]
939,pubchem.compound:3932,[8]
940,pubchem.compound:4938,[8]
941,pubchem.compound:6918314,[8]
942,pubchem.compound:6445533,[]
943,pubchem.compound:5353646,[]
944,pubchem.compound:44137946,[8]
945,pubchem.compound:16123056,[2]
946,pubchem.compound:108137,[]
947,pubchem.compound:51049968,[8]
948,pubchem.compound:148195,[]
949,pubchem.compound:222528,[13]
950,pubchem.compound:6436,[]
951,pubchem.compound:135659063,[]
952,pubchem.compound:5025739,[16]
953,pubchem.compound:24800541,[2]
954,pubchem.compound:11154555,[8]
955,pubchem.compound:16718576,[2]
956,pubchem.compound:56645356,[]
957,pubchem.compound:132862,[]
958,pubchem.compound:9838712,[13]
959,pubchem.compound:176873,[15]
960,pubchem.compound:2132,[12]
961,pubchem.compound:4826,[11]
962,pubchem.compound:3718,[15]
963,pubchem.compound:25117126,[2]
964,pubchem.compound:6918184,[11]
965,pubchem.compound:5281969,[]
966,pubchem.compound:10173277,[]
967,pubchem.compound:1345,[]
968,pubchem.compound:3121,[8]
969,pubchem.compound:2687,[]
970,pubchem.compound:71203,[]
971,pubchem.compound:9823820,[2]
972,pubchem.compound:127151,[8]
973,pubchem.compound:3242,[]
974,pubchem.compound:3071,[]
975,pubchem.compound:31307,[12]
976,pubchem.compound:30668,[8]
977,pubchem.compound:4199,[8]
978,pubchem.compound:5991,[16]
979,pubchem.compound:1329,[]
980,pubchem.compound:3712,[2]
981,pubchem.compound:4418,[11]
982,pubchem.compound:9828911,[13]
983,pubchem.compound:3033677,[]
984,pubchem.compound:2381,[8]
985,pubchem.compound:9889200,[13]
986,pubchem.compound:4633,[9]
987,pubchem.compound:25033539,[2]
988,pubchem.compound:10437018,[2]
989,pubchem.compound:9818682,[]
990,pubchem.compound:6451164,[]
991,pubchem.compound:208898,[11]
992,pubchem.compound:2782,[]
993,pubchem.compound:2725,[12]
994,pubchem.compound:71299339,[]
995,pubchem.compound:108046,[8]
996,pubchem.compound:33630,[8]
997,pubchem.compound:6215,[]
998,pubchem.compound:124246,[15]
999,pubchem.compound:68712,[11]
1000,pubchem.compound:2310,[]
1001,pubchem.compound:213040,[]
1002,pubchem.compound:3219,[9]
1003,pubchem.compound:2081,[]
1004,pubchem.compound:2353,[]
1005,pubchem.compound:54682876,[2]
1006,pubchem.compound:442894,[8]
1007,pubchem.compound:11180808,[8]
1008,pubchem.compound:24946690,[]
1009,pubchem.compound:104850,[13]
1010,pubchem.compound:6604918,[12]
1011,pubchem.compound:11749858,[2]
1012,pubchem.compound:6323266,[]
1013,pubchem.compound:11226090,[13]
1014,pubchem.compound:16007367,[]
1015,pubchem.compound:132449,[]
1016,pubchem.compound:57335384,[2]
1017,pubchem.compound:25025505,[13]
1018,pubchem.compound:46926360,[13]
1019,pubchem.compound:119369,[13]
1020,pubchem.compound:5493444,[11]
1021,pubchem.compound:65889,[]
1022,pubchem.compound:25234918,[15]
1023,pubchem.compound:24963252,[2]
1024,pubchem.compound:23635314,[]
1025,pubchem.compound:3960,[13]
1026,pubchem.compound:51576,[11]
1027,pubchem.compound:1548955,[]
1028,pubchem.compound:936,[14]
1029,pubchem.compound:3827,[9]
1030,pubchem.compound:11609955,[2]
1031,pubchem.compound:148184,[8]
1032,pubchem.compound:122070,[]
1033,pubchem.compound:44187362,[2]
1034,pubchem.compound:15376,[8]
1035,pubchem.compound:104842,[2]
1036,pubchem.compound:107970,[8]
1037,pubchem.compound:119373,[2]
1038,pubchem.compound:5469318,[2]
1039,pubchem.compound:108107,[]
1040,pubchem.compound:3448,[8]
1041,pubchem.compound:5577,[]
1042,pubchem.compound:25151504,[]
1043,pubchem.compound:10521421,[]
1044,pubchem.compound:5284550,[]
1045,pubchem.compound:16734800,[11]
1046,pubchem.compound:10026128,[13]
1047,pubchem.compound:24748204,[2]
1048,pubchem.compound:44205240,[15]
1049,pubchem.compound:1234,[]
1050,pubchem.compound:121891,[13]
1051,pubchem.compound:11556427,[]
1052,pubchem.compound:39065,[13]
1053,pubchem.compound:135398495,[2]
1054,pubchem.compound:9832447,[2]
1055,pubchem.compound:41049,[]
1056,pubchem.compound:3689,[13]
1057,pubchem.compound:9806229,[]
1058,pubchem.compound:3103,[12]
1059,pubchem.compound:114709,[8]
1060,pubchem.compound:65906,[12]
1061,pubchem.compound:151172,[11]
1062,pubchem.compound:68602,[]
1063,pubchem.compound:4593,[11]
1064,pubchem.compound:56846693,[2]
1065,pubchem.compound:135564749,[11]
1066,pubchem.compound:9930049,[11]
1067,pubchem.compound:3721046,[]
1068,pubchem.compound:9939609,[11]
1069,pubchem.compound:6444692,[2]
1070,pubchem.compound:4456,[8]
1071,pubchem.compound:8249,[13]
1072,pubchem.compound:21700,[]
1073,pubchem.compound:134778,[]
1074,pubchem.compound:133621,[]
1075,pubchem.compound:155815,[]
1076,pubchem.compound:131746,[]
1077,pubchem.compound:2788,[]
1078,pubchem.compound:135413533,[2]
1079,pubchem.compound:11520894,[2]
1080,pubchem.compound:1645,[]
1081,pubchem.compound:24737642,[2]
1082,pubchem.compound:107751,[]
1083,pubchem.compound:10201696,[15]
1084,pubchem.compound:44155856,[]
1085,pubchem.compound:1549000,[]
1086,pubchem.compound:59693,[2]
1087,pubchem.compound:15984937,[13]
1088,pubchem.compound:2882,[12]
1089,pubchem.compound:9818903,[8]
1090,pubchem.compound:400769,[]
1091,pubchem.compound:216327,[]
1092,pubchem.compound:71481097,[2]
1093,pubchem.compound:4032,[11]
1094,pubchem.compound:444029,[]
1095,pubchem.compound:128563,[11]
1096,pubchem.compound:5281727,[]
1097,pubchem.compound:2377,[8]
1098,pubchem.compound:5205,[]
1099,pubchem.compound:54726191,[]
1100,pubchem.compound:71354,[16]
1101,pubchem.compound:72301,[8]
1102,pubchem.compound:122077,[]
1103,pubchem.compound:9887537,[8]
1104,pubchem.compound:5311345,[]
1105,pubchem.compound:25166913,[2]
1106,pubchem.compound:121926,[8]
1107,pubchem.compound:4167,[8]
1108,pubchem.compound:54385,[9]
1109,pubchem.compound:39836,[11]
1110,pubchem.compound:3455,[8]
1111,pubchem.compound:10798271,[15]
1112,pubchem.compound:57697,[9]
1113,pubchem.compound:132999,[11]
1114,pubchem.compound:25031915,[2]
1115,pubchem.compound:123683,[2]
1116,pubchem.compound:123983,[]
1117,pubchem.compound:6839,[8]
1118,pubchem.compound:5311339,[]
1119,pubchem.compound:47319,[9]
1120,pubchem.compound:2722,[]
1121,pubchem.compound:49831257,[]
1122,pubchem.compound:11502243,[11]
1123,pubchem.compound:11570626,[]
1124,pubchem.compound:135399235,[]
1125,pubchem.compound:107641,[]
1126,pubchem.compound:159594,[]
1127,pubchem.compound:208901,[13]
1128,pubchem.compound:5042,[13]
1129,pubchem.compound:6610243,[]
1130,pubchem.compound:5281855,[]
1131,pubchem.compound:169870,[]
1132,pubchem.compound:24988881,[13]
1133,pubchem.compound:6918612,[8]
1134,pubchem.compound:656615,[]
1135,pubchem.compound:4698,[]
1136,pubchem.compound:462382,[]
1137,pubchem.compound:121877,[13]
1138,pubchem.compound:12555,[13]
1139,pubchem.compound:46947264,[]
1140,pubchem.compound:3025944,[2]
1141,pubchem.compound:5511,[]
1142,pubchem.compound:6178111,[]
1143,pubchem.compound:4705,[14]
1144,pubchem.compound:5311051,[14]
1145,pubchem.compound:5318998,[]
1146,pubchem.compound:65909,[]
1147,pubchem.compound:125564,[8]
1148,pubchem.compound:50905713,[2]
1149,pubchem.compound:448014,[2]
1150,pubchem.compound:11552706,[11]
1151,pubchem.compound:59472121,[2]
1152,pubchem.compound:46239015,[2]
1153,pubchem.compound:10296883,[]
1154,pubchem.compound:5312122,[]
1155,pubchem.compound:9843750,[8]
1156,pubchem.compound:1694,[]
1157,pubchem.compound:5312126,[]
1158,pubchem.compound:46901937,[]
1159,pubchem.compound:11234052,[2]
1160,pubchem.compound:25062766,[2]
1161,pubchem.compound:10109823,[]
1162,pubchem.compound:11640390,[2]
1163,pubchem.compound:25126798,[2]
1164,pubchem.compound:56649450,[2]
1165,pubchem.compound:11977753,[2]
1166,pubchem.compound:9549289,[]
1167,pubchem.compound:135398506,[]
1168,pubchem.compound:6918454,[]
1169,pubchem.compound:16722836,[2]
1170,pubchem.compound:6852167,[]
1171,pubchem.compound:24180719,[2]
1172,pubchem.compound:135565545,[2]
1173,pubchem.compound:9549297,[]
1174,pubchem.compound:160355,[2]
1175,pubchem.compound:51358113,[2]
1176,pubchem.compound:6445562,[2]
1177,pubchem.compound:44137675,[13]
1178,pubchem.compound:9907093,[]
1179,pubchem.compound:25195294,[]
1180,pubchem.compound:11476171,[2]
1181,pubchem.compound:11598628,[]
1182,pubchem.compound:16007391,[2]
1183,pubchem.compound:11327430,[]
1184,pubchem.compound:265237,[2]
1185,pubchem.compound:9956119,[4]
1186,pubchem.compound:9810884,[9]
1187,pubchem.compound:49836027,[]
1188,pubchem.compound:5289247,[]
1189,pubchem.compound:11647372,[2]
1190,pubchem.compound:146156476,[]
1191,pubchem.compound:1401,[2]
1192,pubchem.compound:25124816,[]
1193,pubchem.compound:3025986,[2]
1194,pubchem.compound:156414,[2]
1195,pubchem.compound:10184653,[2]
1196,pubchem.compound:73707530,[]
1197,pubchem.compound:11713159,[2]
1198,pubchem.compound:24964624,[2]
1199,pubchem.compound:5330286,[2]
1200,pubchem.compound:135398516,[2]
1201,pubchem.compound:9813758,[]
1202,pubchem.compound:11671467,[]
1203,pubchem.compound:9826308,[]
1204,pubchem.compound:5287969,[2]
1205,pubchem.compound:9869779,[]
1206,pubchem.compound:92852530,[]
1207,pubchem.compound:24901704,[2]
1208,pubchem.compound:5166,[]
1209,pubchem.compound:10430360,[2]
1210,pubchem.compound:9888590,[2]
1211,pubchem.compound:11717001,[]
1212,pubchem.compound:49806720,[2]
1213,pubchem.compound:10077147,[]
1214,pubchem.compound:16747388,[]
1215,pubchem.compound:3038525,[]
1216,pubchem.compound:6419753,[2]
1217,pubchem.compound:46911863,[2]
1218,pubchem.compound:8515,[]
1219,pubchem.compound:5924208,[]
1220,pubchem.compound:11712649,[2]
1221,pubchem.compound:9952773,[15]
1222,pubchem.compound:25227462,[2]
1223,pubchem.compound:5311510,[]
1224,pubchem.compound:11364421,[2]
1225,pubchem.compound:10302451,[2]
1226,pubchem.compound:11152667,[2]
1227,pubchem.compound:11373846,[]
1228,pubchem.compound:51000408,[2]
1229,pubchem.compound:15331,[]
1230,pubchem.compound:9931954,[2]
1231,pubchem.compound:49855250,[2]
1232,pubchem.compound:65064,[13]
1233,pubchem.compound:25150857,[2]
1234,pubchem.compound:46943432,[2]
1235,pubchem.compound:71729975,[]
1236,pubchem.compound:53340666,[2]
1237,pubchem.compound:2130404,[]
1238,pubchem.compound:46907787,[2]
1239,pubchem.compound:56963315,[]
1240,pubchem.compound:5113032,[8]
1241,pubchem.compound:54685215,[]
1242,pubchem.compound:9796068,[2]
1243,pubchem.compound:15953870,[2]
1244,pubchem.compound:5278396,[2]
1245,pubchem.compound:15983966,[2]
1246,pubchem.compound:24856436,[2]
1247,pubchem.compound:53235510,[2]
1248,pubchem.compound:11175137,[]
1249,pubchem.compound:49867929,[]
1250,pubchem.compound:71496458,[2]
1251,pubchem.compound:6539732,[]
1252,pubchem.compound:11667893,[2]
1253,pubchem.compound:44607530,[]
1254,pubchem.compound:9967941,[]
1255,pubchem.compound:23582824,[2]
1256,pubchem.compound:24794418,[]
1257,pubchem.compound:156422,[13]
1258,pubchem.compound:24739943,[2]
1259,pubchem.compound:2051,[]
1260,pubchem.compound:17754438,[2]
1261,pubchem.compound:24788740,[2]
1262,pubchem.compound:135659062,[]
1263,pubchem.compound:644215,[2]
1264,pubchem.compound:176158,[]
1265,pubchem.compound:9911830,[2]
1266,pubchem.compound:24875320,[]
1267,pubchem.compound:4261,[2]
1268,pubchem.compound:5350,[2]
1269,pubchem.compound:5284329,[]
1270,pubchem.compound:8582409,[]
1271,pubchem.compound:107985,[13]
1272,pubchem.compound:439230,[]
1273,pubchem.compound:60648,[8]
1274,pubchem.compound:9863367,[15]
1275,pubchem.compound:657378,[]
1276,pubchem.compound:107896,[]
1277,pubchem.compound:442195,[]
1278,pubchem.compound:27400,[8]
1279,pubchem.compound:107715,[8]
1280,pubchem.compound:5723,[12]
1281,pubchem.compound:71415,[14]
1282,pubchem.compound:122724,[8]
1283,pubchem.compound:5283066,[]
1284,pubchem.compound:5458428,[]
1285,pubchem.compound:3006531,[]
1286,pubchem.compound:176155,[]
1287,pubchem.compound:4713,[]
1288,pubchem.compound:91827739,[]
1289,pubchem.compound:222757,[]
1290,pubchem.compound:24385,[]
1291,pubchem.compound:441335,[4]
1292,pubchem.compound:3410,[12]
1293,pubchem.compound:444732,[2]
1294,pubchem.compound:6918852,[2]
1295,pubchem.compound:24462,[]
1296,pubchem.compound:159603,[]
1297,pubchem.compound:8246,[]
1298,pubchem.compound:26879,[2]
1299,pubchem.compound:6435890,[]
1300,pubchem.compound:62959,[]
1301,pubchem.compound:4922,[]
1302,pubchem.compound:47811,[8]
1303,pubchem.compound:7456,[]
1304,pubchem.compound:1549120,[8]
1305,pubchem.compound:38945,[11]
1306,pubchem.compound:135403821,[9]
1307,pubchem.compound:24085,[]
1308,pubchem.compound:3965,[]
1309,pubchem.compound:5362440,[]
1310,pubchem.compound:8785,[]
1311,pubchem.compound:119584,[]
1312,pubchem.compound:2264,[]
1313,pubchem.compound:5467,[8]
1314,pubchem.compound:5403,[12]
1315,pubchem.compound:22475,[]
1316,pubchem.compound:4914,[9]
1317,pubchem.compound:4011,[8]
1318,pubchem.compound:3191,[]
1319,pubchem.compound:26987,[12]
1320,pubchem.compound:5311036,[]
1321,pubchem.compound:2467,[11]
1322,pubchem.compound:36324,[]
1323,pubchem.compound:5210,[13]
1324,pubchem.compound:4843,[8]
1325,pubchem.compound:3675,[]
1326,pubchem.compound:5386,[2]
1327,pubchem.compound:135403648,[]
1328,pubchem.compound:18343,[2]
1329,pubchem.compound:4636,[9]
1330,pubchem.compound:54585,[13]
1331,pubchem.compound:5733,[]
1332,pubchem.compound:6124,[]
1333,pubchem.compound:3334,[]
1334,pubchem.compound:656665,[]
1335,pubchem.compound:40854,[]
1336,pubchem.compound:4496,[]
1337,pubchem.compound:4649,[13]
1338,pubchem.compound:5897,[]
1339,pubchem.compound:2406,[]
1340,pubchem.compound:853433,[]
1341,pubchem.compound:2176,[]
1342,pubchem.compound:60712,[15]
1343,pubchem.compound:466151,[2]
1344,pubchem.compound:15938,[]
1345,pubchem.compound:50942,[12]
1346,pubchem.compound:446156,[]
1347,pubchem.compound:34870,[8]
1348,pubchem.compound:8478,[]
1349,pubchem.compound:1549103,[14]
1350,pubchem.compound:3518,[11]
1351,pubchem.compound:2730,[]
1352,pubchem.compound:5281708,[]
1353,pubchem.compound:8667,[]
1354,pubchem.compound:8346,[]
1355,pubchem.compound:51040,[]
1356,pubchem.compound:6437,[]
1357,pubchem.compound:441853,[]
1358,pubchem.compound:8575,[]
1359,pubchem.compound:12251,[]
1360,pubchem.compound:4178,[11]
1361,pubchem.compound:4098,[]
1362,pubchem.compound:2723949,[]
1363,pubchem.compound:135398735,[]
1364,pubchem.compound:441074,[]
1365,pubchem.compound:5921,[]
1366,pubchem.compound:9415,[2]
1367,pubchem.compound:3114,[11]
1368,pubchem.compound:6419921,[]
1369,pubchem.compound:22722,[]
1370,pubchem.compound:2708,[2]
1371,pubchem.compound:4060,[8]
1372,pubchem.compound:5090,[15]
1373,pubchem.compound:119607,[15]
1374,pubchem.compound:119031,[2]
1375,pubchem.compound:4753,[8]
1376,pubchem.compound:6291,[]
1377,pubchem.compound:60663,[2]
1378,pubchem.compound:2120,[]
1379,pubchem.compound:4592,[]
1380,pubchem.compound:1893,[]
1381,pubchem.compound:5288382,[2]
1382,pubchem.compound:445070,[]
1383,pubchem.compound:5326713,[]
1384,pubchem.compound:337359,[9]
1385,pubchem.compound:4849,[]
1386,pubchem.compound:5280335,[]
1387,pubchem.compound:128878,[]
1388,pubchem.compound:932,[]
1389,pubchem.compound:6323491,[]
1390,pubchem.compound:5362422,[12]
1391,pubchem.compound:446916,[]
1392,pubchem.compound:5453,[2]
1393,pubchem.compound:2196,[8]
1394,pubchem.compound:97297,[]
1395,pubchem.compound:10621,[11]
1396,pubchem.compound:4495,[2]
1397,pubchem.compound:50515,[2]
1398,pubchem.compound:101616,[8]
1399,pubchem.compound:9871074,[]
1400,pubchem.compound:10341154,[15]
1401,pubchem.compound:11398092,[8]
1402,pubchem.compound:1253,[]
1403,pubchem.compound:5329098,[]
1404,pubchem.compound:10152654,[15]
1405,pubchem.compound:4477,[]
1406,pubchem.compound:9826528,[2]
1407,pubchem.compound:3332,[15]
1408,pubchem.compound:445858,[]
1409,pubchem.compound:22049997,[12]
1410,pubchem.compound:24864821,[2]
1411,pubchem.compound:122335,[2]
1412,pubchem.compound:3342298,[]
1413,pubchem.compound:3132,[]
1414,pubchem.compound:73333,[8]
1415,pubchem.compound:2787,[]
1416,pubchem.compound:11625818,[2]
1417,pubchem.compound:4500,[]
1418,pubchem.compound:2750,[12]
1419,pubchem.compound:2765,[]
1420,pubchem.compound:5531,[]
1421,pubchem.compound:9811834,[]
1422,pubchem.compound:15547703,[2]
1423,pubchem.compound:10288191,[2]
1424,pubchem.compound:26248,[]
1425,pubchem.compound:3822,[11]
1426,pubchem.compound:4850,[]
1427,pubchem.compound:3033769,[]
1428,pubchem.compound:5074,[8]
1429,pubchem.compound:5280363,[2]
1430,pubchem.compound:5311070,[8]
1431,pubchem.compound:123879,[12]
1432,pubchem.compound:28693,[13]
1433,pubchem.compound:53276,[]
1434,pubchem.compound:47472,[]
1435,pubchem.compound:460612,[2]
1436,pubchem.compound:3677,[11]
1437,pubchem.compound:2162,[11]
1438,pubchem.compound:2161,[12]
