,0
pubchem.compound:16043,CID00001
pubchem.compound:10205,CID00002
pubchem.compound:5646,CID00006
pubchem.compound:5281035,CID00007
pubchem.compound:4784,CID00009
pubchem.compound:119032,CID00011
pubchem.compound:3994,CID00012
pubchem.compound:6912226,CID00013
pubchem.compound:3652,CID00015
pubchem.compound:5280953,CID00016
pubchem.compound:3463933,CID00018
pubchem.compound:442009,CID00019
pubchem.compound:15604015,CID00020
pubchem.compound:5684,CID00021
pubchem.compound:9811606,CID00024
pubchem.compound:445713,CID00026
pubchem.compound:4624,CID00027
pubchem.compound:2107,CID00030
pubchem.compound:1242,CID00031
pubchem.compound:180081,CID00032
pubchem.compound:1219,CID00033
pubchem.compound:119192,CID00036
pubchem.compound:446313,CID00039
pubchem.compound:9881989,CID00044
pubchem.compound:4641,CID00046
pubchem.compound:6422124,CID00052
pubchem.compound:2088,CID00055
pubchem.compound:4452,CID00056
pubchem.compound:4581,CID00057
pubchem.compound:180081,CID00058
None,CID00059
pubchem.compound:11957499,CID00060
pubchem.compound:31373,CID00061
pubchem.compound:68570,CID00062
pubchem.compound:20393,CID00063
pubchem.compound:5281576,CID00064
pubchem.compound:31553,CID00065
pubchem.compound:4115,CID00066
pubchem.compound:6623,CID00067
pubchem.compound:3032732,CID00068
pubchem.compound:299,CID00069
pubchem.compound:135423666,CID00072
pubchem.compound:4906,CID00073
pubchem.compound:1201549,CID00075
pubchem.compound:4488,CID00076
pubchem.compound:24288,CID00078
pubchem.compound:5240,CID00079
pubchem.compound:132971,CID00080
pubchem.compound:11395181,CID00081
pubchem.compound:6540,CID00082
pubchem.compound:25195354,CID00083
pubchem.compound:5353609,CID00084
pubchem.compound:38409,CID00085
pubchem.compound:442424,CID00086
pubchem.compound:6675804,CID00087
pubchem.compound:454217,CID00088
pubchem.compound:49850262,CID00089
pubchem.compound:123692,CID00090
pubchem.compound:10237,CID00091
pubchem.compound:71158,CID00092
pubchem.compound:3025961,CID00093
pubchem.compound:74603,CID00094
pubchem.compound:10398360,CID00096
pubchem.compound:57369841,CID00097
None,CID00098
pubchem.compound:5283454,CID00100
pubchem.compound:44607360,CID00101
pubchem.compound:210332,CID00102
pubchem.compound:11296583,CID00103
pubchem.compound:9549213,CID00104
pubchem.compound:137319711,CID00105
pubchem.compound:2930014,CID00107
pubchem.compound:13889849,CID00108
pubchem.compound:146898,CID00109
pubchem.compound:227037,CID00110
None,CID00111
pubchem.compound:46233311,CID00113
pubchem.compound:6438381,CID00114
None,CID00115
None,CID00116
pubchem.compound:155903758,CID00117
None,CID00118
None,CID00119
pubchem.compound:3896,CID00120
None,CID00121
pubchem.compound:667550,CID00122
pubchem.compound:3542,CID00123
pubchem.compound:3213,CID00124
pubchem.compound:1697,CID00125
pubchem.compound:132266,CID00126
pubchem.compound:92877,CID00127
pubchem.compound:101989,CID00128
None,CID00129
pubchem.compound:9903,CID00130
pubchem.compound:5382,CID00131
pubchem.compound:10133,CID00132
pubchem.compound:69670465,CID00133
pubchem.compound:2747117,CID00134
None,CID00135
None,CID00136
pubchem.compound:135398687,CID00137
pubchem.compound:12313658,CID00138
pubchem.compound:2531,CID00139
pubchem.compound:16126782,CID00140
pubchem.compound:57340680,CID00141
None,CID00142
pubchem.compound:644076,CID00143
pubchem.compound:5287855,CID00146
pubchem.compound:16129706,CID00147
pubchem.compound:9910224,CID00148
pubchem.compound:23696523,CID00149
pubchem.compound:10367662,CID00150
pubchem.compound:24995524,CID00151
pubchem.compound:3549,CID00152
pubchem.compound:119565,CID00153
pubchem.compound:421610,CID00154
pubchem.compound:6918328,CID00155
pubchem.compound:4996,CID00156
pubchem.compound:16129666,CID00157
pubchem.compound:3645619,CID00158
pubchem.compound:17534,CID00159
pubchem.compound:10429242,CID00160
None,CID00161
None,CID00162
pubchem.compound:9804992,CID00164
pubchem.compound:6436219,CID00165
pubchem.compound:201990,CID00166
None,CID00167
pubchem.compound:107778,CID00168
pubchem.compound:40839,CID00169
pubchem.compound:2999413,CID00170
pubchem.compound:4296,CID00171
pubchem.compound:2083,CID00172
pubchem.compound:64143,CID00173
pubchem.compound:2577,CID00174
pubchem.compound:107867,CID00175
pubchem.compound:604519,CID00176
pubchem.compound:5360697,CID00177
pubchem.compound:439533,CID00179
pubchem.compound:58258,CID00180
pubchem.compound:5105,CID00181
pubchem.compound:119828,CID00182
pubchem.compound:5281901,CID00183
pubchem.compound:3616,CID00184
pubchem.compound:3947,CID00185
pubchem.compound:5280804,CID00186
pubchem.compound:126280,CID00187
pubchem.compound:9846332,CID00188
pubchem.compound:92337,CID00189
pubchem.compound:13505,CID00190
pubchem.compound:6597,CID00191
pubchem.compound:16960,CID00192
pubchem.compound:6234,CID00193
pubchem.compound:656668,CID00194
pubchem.compound:2099,CID00195
pubchem.compound:101498,CID00196
pubchem.compound:854019,CID00197
pubchem.compound:65373,CID00201
pubchem.compound:10631,CID00202
pubchem.compound:5311128,CID00203
pubchem.compound:20469,CID00204
pubchem.compound:1797,CID00208
None,CID00209
None,CID00210
None,CID00211
None,CID00212
pubchem.compound:5719375,CID00213
None,CID00214
pubchem.compound:44483163,CID00215
pubchem.compound:66890843,CID00216
pubchem.compound:135398517,CID00217
pubchem.compound:24775005,CID00218
pubchem.compound:25021165,CID00219
pubchem.compound:135403620,CID00220
pubchem.compound:253078,CID00221
pubchem.compound:11296282,CID00222
pubchem.compound:9927531,CID00223
pubchem.compound:182593,CID00224
pubchem.compound:52947716,CID00225
pubchem.compound:27924,CID00226
pubchem.compound:16760588,CID00227
None,CID00228
pubchem.compound:11657687,CID00229
None,CID00230
pubchem.compound:25195348,CID00231
pubchem.compound:10370504,CID00232
pubchem.compound:9576787,CID00233
pubchem.compound:16725315,CID00234
pubchem.compound:9886086,CID00235
pubchem.compound:26596,CID00236
pubchem.compound:67535,CID00237
pubchem.compound:4858,CID00238
pubchem.compound:25154868,CID00240
pubchem.compound:72376,CID00241
None,CID00242
pubchem.compound:4139,CID00243
pubchem.compound:5132514,CID00244
pubchem.compound:16736978,CID00245
pubchem.compound:11964036,CID00246
pubchem.compound:6918540,CID00247
pubchem.compound:442042,CID00248
pubchem.compound:24951314,CID00250
pubchem.compound:442088,CID00252
pubchem.compound:3129,CID00253
pubchem.compound:10687292,CID00254
pubchem.compound:5311218,CID00256
None,CID00257
pubchem.compound:24785538,CID00259
pubchem.compound:9840076,CID00262
pubchem.compound:3035714,CID00263
None,CID00265
pubchem.compound:1889993,CID00266
pubchem.compound:1714884,CID00267
pubchem.compound:10322450,CID00268
pubchem.compound:135411,CID00269
pubchem.compound:4788,CID00270
pubchem.compound:135418940,CID00271
pubchem.compound:981054,CID00272
pubchem.compound:6604934,CID00273
pubchem.compound:21100,CID00274
pubchem.compound:114829,CID00275
pubchem.compound:667530,CID00276
pubchem.compound:6708643,CID00279
pubchem.compound:25183872,CID00280
pubchem.compound:5311365,CID00281
pubchem.compound:3086618,CID00282
pubchem.compound:108182,CID00283
pubchem.compound:3797,CID00284
pubchem.compound:6604933,CID00286
pubchem.compound:3906894,CID00287
None,CID00288
pubchem.compound:5537,CID00289
pubchem.compound:181380,CID00290
pubchem.compound:68870,CID00291
pubchem.compound:1048845,CID00292
pubchem.compound:9885087,CID00293
pubchem.compound:1474853,CID00294
pubchem.compound:5269,CID00295
pubchem.compound:5268,CID00296
pubchem.compound:6437074,CID00298
pubchem.compound:1243,CID00299
pubchem.compound:14973220,CID00300
pubchem.compound:4336830,CID00301
pubchem.compound:3248571,CID00302
pubchem.compound:5163,CID00303
pubchem.compound:3272300,CID00304
pubchem.compound:131906,CID00305
pubchem.compound:824226,CID00306
pubchem.compound:6604887,CID00307
